category,variable,active_value,status,source,meaning
Topology,gNB count,1,LOCKED,Structural single-cell environment,One serving scheduler; not parameterized as multi-gNB
Topology,cell count,1,LOCKED,Structural single-cell environment,No inter-cell interference/handover
Topology,direction,Downlink,LOCKED,Environment scope,No uplink scheduling
Resources,num_ues,1200,LOCKED / trainer-flex,Round-09 protocol,All 1200 are active and eligible
Resources,num_prbs,273,LOCKED in active trainer,train_ppo.py hard-coded,Projector conserves exactly 273 PRBs
Resources,max_selected_ues,64,LOCKED,Active trainer Top-K,At most 64 UEs receive PRBs per slot
Time,episode_slots,5000,FLEX-PLAN,Round-09 plan,One env.step = one scheduling decision
Traffic,traffic_model,full-buffer,LOCKED,env.py transition,Queue refilled to target every slot
Traffic,full_buffer_base_bytes,1000000,FLEX-CONFIG,ScaleMacConfig,Target queue before demand factor
Traffic,packet_size_bytes,1500,CONFIGURED/NOT OPERATIONAL,ScaleMacConfig only,Not used in delivery transition
Demand,demand_factors,0.5 / 1.0 / 2.0,LOCKED in code,env.py sampler,Scale queue target and throughput normalization
Demand,demand_mix,40% / 40% / 20%,FLEX-CONFIG,ScaleMacConfig,480/480/240 UEs at N=1200
Channel,cqi_range,1..15,DYNAMIC true channel / reported CSI,env.py,True CQI is 1..15; scheduler-visible CQI may be stale/noisy through CSI reporting.
Channel,cqi_mix,30% / 40% / 30%,FLEX-CONFIG,ScaleMacConfig,360/480/360 UEs at N=1200
Channel,cqi_group_ranges,1-5 / 6-10 / 11-15,HARD-CODED,env.py sampler,Requires code change
Channel,cqi_time_evolution,"Slow correlated (rho=0.97, sigma=0.35, max delta=1)",FLEX-PLAN,env.py,Primary realism profile; static remains regression and faster CQI remains stress test.
Channel,freeze_static_profiles,true,LOCKED in reward-study runner,run_reward_study.py,Same profile reused across resets in current protocol
Channel,profile_seed,1701,FLEX-PLAN,Round-09 plan,Controls frozen CQI/demand/speed profile
Channel,speed_mps,"0,1.5,5,15,25",META-ONLY,env.py,No effect on CQI or transition
PHY,cqi_efficiency_table,15 hard-coded levels,HARD-CODED,env.py _CQI_EFFICIENCY,CQI -> bits/PRB abstraction
PHY,bits_per_prb,12*14*efficiency*0.86,HARD-CODED,env.py,No physical slot duration attached
PHY,target_bler,0.10,FLEX-CONFIG,ScaleMacConfig default,Constant across CQI; 90% success
HARQ,harq_enabled,true,FLEX-CONFIG,ScaleMacConfig default,Simplified pending/retry state
HARQ,max_harq_retransmissions,3,FLEX-CONFIG,ScaleMacConfig default,Drop/reset after count > 3
HARQ,forced_retransmission,false,LOCKED protocol,ppo_only reward-study runner,Policy has full control
State,ewma_alpha,0.02,FLEX-CONFIG,ScaleMacConfig default,Short-term throughput memory
State,eligible,all true,STATIC CURRENTLY,env.py,No inactive-UE transition yet
Delay,starvation_threshold_slots,64,FLEX-PLAN,Round-09 plan,No successful delivery for >=64 slots
Delay,p99_reference,50 slots,LOCKED protocol,reward-study runner,Reference/evaluation target
Delay,max_wait_reference,60 slots,LOCKED protocol,reward-study runner,Reference/evaluation target
Reward,throughput_weight,1/3,LOCKED,Round-09 case,Active
Reward,fairness_weight,1/3,LOCKED,Round-09 case,Active
Reward,service_weight,1/3,LOCKED,Round-09 case,Active
Reward,all_other_reward_terms,0,LOCKED,Round-09 case,Computed metrics may remain but no gradient contribution
CSI,csi_report_mode,perfect / periodic,FLEX-PLAN,ScaleMacConfig,Controls whether scheduler sees instantaneous true CQI or periodic reports.
CSI,csi_report_period_slots,1 baseline; 4 in Round 11 impaired cases,FLEX-PLAN,ScaleMacConfig,Slots between generated CSI measurements.
CSI,csi_report_delay_slots,0 baseline; 2 in delayed cases,FLEX-PLAN,ScaleMacConfig,Transport/processing delay before a CSI snapshot reaches the scheduler.
CSI,csi_report_error_std,0 baseline; 0.75 stress,FLEX-PLAN,ScaleMacConfig,Gaussian measurement error in CQI-index units before quantization and clipping.
CSI,reported_cqi,1..15,DYNAMIC / DERIVED,env.py,Scheduler-visible CQI used in observation feature 0 and CQI rank; true CQI remains hidden in impaired modes.
CSI,csi_report_age_slots,runtime metric,DERIVED,env.py,Age of the latest delivered report relative to the current slot.
