case_id,reward_X,reward_formula_short,regime,what_changed,research_question,weights_T_J_S_X,goodput_bits_per_slot,jain_fairness,starvation_rate,p99_wait_slots,max_wait_slots,raw_X_score,stability,verdict,top3_goodput_among_stable,top3_jain_among_stable,top3_p99_among_stable,top3_max_wait_among_stable
add_deficit_service_equal,Deficit service,"y_i = EWMA_i / demand_i;  d_i = clip((mean(y)-y_i)/mean(y), 0, 2);  r_D = clip(mean(d_i của các UE truyền thành công), 0, 1)",Chia đều 4 thành phần,"Thêm X vào baseline, đồng thời giảm T, Jain và Service từ 1/3 xuống 1/4.",X có tạo lợi ích biên khi đứng ngang hàng với ba reward nền không?,0.25/0.25/0.25/0.25,117696.46756743013,0.0845448094131864,0.0583333333333333,74.0,76.0,0.3282715093186902,Borderline,Có tín hiệu nhưng chưa đạt zero-starvation/tail-delay an toàn.,False,False,False,False
deficit_service_heavy,Deficit service,"y_i = EWMA_i / demand_i;  d_i = clip((mean(y)-y_i)/mean(y), 0, 2);  r_D = clip(mean(d_i của các UE truyền thành công), 0, 1)",Cho X làm thành phần chính,Tăng X lên 0.40 và giảm cả ba reward nền xuống 0.20.,X có đủ mạnh để làm objective chính hay sẽ bị khai thác/collapse?,0.20/0.20/0.20/0.40,8751.66382938385,0.0477239405156577,0.9466666666666668,5000.0,5000.0,0.0001878810439844,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
deficit_service_hold_throughput,Deficit service,"y_i = EWMA_i / demand_i;  d_i = clip((mean(y)-y_i)/mean(y), 0, 2);  r_D = clip(mean(d_i của các UE truyền thành công), 0, 1)",Giữ Throughput,"Giữ T ở 0.25, tăng X lên 0.35, giảm Jain và Service xuống 0.20.",Throughput có phải anchor cần thiết để X hoạt động không?,0.25/0.20/0.20/0.35,8095.64073780365,0.0478757752135915,0.9466666666666668,5000.0,5000.0,0.0001299881342936,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
deficit_service_hold_jain,Deficit service,"y_i = EWMA_i / demand_i;  d_i = clip((mean(y)-y_i)/mean(y), 0, 2);  r_D = clip(mean(d_i của các UE truyền thành công), 0, 1)",Giữ Jain,"Giữ Jain ở 0.25, tăng X lên 0.35, giảm T và Service xuống 0.20.",Jain có phải anchor cần thiết để X hoạt động không?,0.20/0.25/0.20/0.35,98210.31940348052,0.2672728477708437,0.0,48.0,50.0,0.3549465636398866,Stable,"Ổn định nhưng tăng trưởng nhỏ/không rõ: goodput nhích lên, fairness và delay gần như không tốt hơn.",False,False,False,False
deficit_service_hold_service,Deficit service,"y_i = EWMA_i / demand_i;  d_i = clip((mean(y)-y_i)/mean(y), 0, 2);  r_D = clip(mean(d_i của các UE truyền thành công), 0, 1)",Giữ Service,"Giữ Service ở 0.25, tăng X lên 0.35, giảm T và Jain xuống 0.20.",Service có phải anchor cần thiết để X hoạt động không?,0.20/0.20/0.25/0.35,6696.342819961548,0.0503387160095877,0.9466666666666668,5000.0,5000.0,0.0001019927394633,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
deficit_service_group_tj,Deficit service,"y_i = EWMA_i / demand_i;  d_i = clip((mean(y)-y_i)/mean(y), 0, 2);  r_D = clip(mean(d_i của các UE truyền thành công), 0, 1)",Giữ mạnh T + Jain,"Giữ T và Jain mạnh, giảm Service xuống 0.10; X thử thay phần lớn Service.",X có thể thay Service mà vẫn giữ coverage không?,0.30/0.30/0.10/0.30,97958.21619544984,0.2694051203400575,0.0,49.0,50.0,0.3636718186367174,Stable,"Ổn định nhưng tăng trưởng nhỏ/không rõ: goodput nhích lên, fairness và delay gần như không tốt hơn.",False,False,False,False
deficit_service_anchor_preserving,Deficit service,"y_i = EWMA_i / demand_i;  d_i = clip((mean(y)-y_i)/mean(y), 0, 2);  r_D = clip(mean(d_i của các UE truyền thành công), 0, 1)",Giữ mạnh T + Service,"Giữ T và Service mạnh, giảm Jain xuống 0.10; X thử thay phần lớn Jain.",X có thể thay Jain mà policy vẫn ổn định/công bằng không?,0.30/0.10/0.30/0.30,92634.11824542387,0.2921135641111174,0.0,43.0,44.0,0.372925980510746,Stable,Ứng viên fairness/delay; có thể thay một phần Jain nhưng mất goodput.,False,True,True,True
deficit_service_group_js,Deficit service,"y_i = EWMA_i / demand_i;  d_i = clip((mean(y)-y_i)/mean(y), 0, 2);  r_D = clip(mean(d_i của các UE truyền thành công), 0, 1)",Giữ mạnh Jain + Service,"Giữ Jain và Service mạnh, giảm T xuống 0.10; X thử thay phần lớn Throughput.",X có thể thay Throughput mà vẫn tạo transmission hữu ích không?,0.10/0.30/0.30/0.30,97528.1773361496,0.2666419818473835,0.0,48.0,50.0,0.3674609833240772,Stable,"Ổn định nhưng tăng trưởng nhỏ/không rõ: goodput nhích lên, fairness và delay gần như không tốt hơn.",False,False,False,False
add_pf_utility_equal,PF utility,"y_i = EWMA_i / demand_i;  r_PF = clip(mean(log(1 + y_i/max(y))) / log(2), 0, 1)",Chia đều 4 thành phần,"Thêm X vào baseline, đồng thời giảm T, Jain và Service từ 1/3 xuống 1/4.",X có tạo lợi ích biên khi đứng ngang hàng với ba reward nền không?,0.25/0.25/0.25/0.25,96471.22959927826,0.120916478301159,0.9383333333333334,5000.0,5000.0,0.0359729449179737,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
pf_utility_heavy,PF utility,"y_i = EWMA_i / demand_i;  r_PF = clip(mean(log(1 + y_i/max(y))) / log(2), 0, 1)",Cho X làm thành phần chính,Tăng X lên 0.40 và giảm cả ba reward nền xuống 0.20.,X có đủ mạnh để làm objective chính hay sẽ bị khai thác/collapse?,0.20/0.20/0.20/0.40,8911.972770851135,0.0448069009241096,0.9466666666666668,5000.0,5000.0,0.0325254905779869,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
pf_utility_hold_throughput,PF utility,"y_i = EWMA_i / demand_i;  r_PF = clip(mean(log(1 + y_i/max(y))) / log(2), 0, 1)",Giữ Throughput,"Giữ T ở 0.25, tăng X lên 0.35, giảm Jain và Service xuống 0.20.",Throughput có phải anchor cần thiết để X hoạt động không?,0.25/0.20/0.20/0.35,28994.911517601013,0.0422856176393219,0.9466666666666668,5000.0,5000.0,0.0153491488581587,Late collapse,Không dùng checkpoint giữa run; final policy không ổn định.,False,False,False,False
pf_utility_hold_jain,PF utility,"y_i = EWMA_i / demand_i;  r_PF = clip(mean(log(1 + y_i/max(y))) / log(2), 0, 1)",Giữ Jain,"Giữ Jain ở 0.25, tăng X lên 0.35, giảm T và Service xuống 0.20.",Jain có phải anchor cần thiết để X hoạt động không?,0.20/0.25/0.20/0.35,106570.4116707016,0.1305444380159416,0.0,56.0,59.0,0.0728149067531743,Stable,Goodput tăng nhưng đánh đổi fairness quá lớn; không phải cải thiện cân bằng.,True,False,False,False
pf_utility_hold_service,PF utility,"y_i = EWMA_i / demand_i;  r_PF = clip(mean(log(1 + y_i/max(y))) / log(2), 0, 1)",Giữ Service,"Giữ Service ở 0.25, tăng X lên 0.35, giảm T và Jain xuống 0.20.",Service có phải anchor cần thiết để X hoạt động không?,0.20/0.20/0.25/0.35,7845.455348893738,0.0490997927320054,0.9466666666666668,5000.0,5000.0,0.0355853962018406,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
pf_utility_group_tj,PF utility,"y_i = EWMA_i / demand_i;  r_PF = clip(mean(log(1 + y_i/max(y))) / log(2), 0, 1)",Giữ mạnh T + Jain,"Giữ T và Jain mạnh, giảm Service xuống 0.10; X thử thay phần lớn Service.",X có thể thay Service mà vẫn giữ coverage không?,0.30/0.30/0.10/0.30,137053.05872573852,0.0723760296988164,0.3941666666666666,4784.0,5000.0,0.0645755329572659,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
pf_utility_anchor_preserving,PF utility,"y_i = EWMA_i / demand_i;  r_PF = clip(mean(log(1 + y_i/max(y))) / log(2), 0, 1)",Giữ mạnh T + Service,"Giữ T và Service mạnh, giảm Jain xuống 0.10; X thử thay phần lớn Jain.",X có thể thay Jain mà policy vẫn ổn định/công bằng không?,0.30/0.10/0.30/0.30,9194.14245586853,0.0453503135831709,0.9466666666666668,5000.0,5000.0,0.0333995990750264,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
pf_utility_group_js,PF utility,"y_i = EWMA_i / demand_i;  r_PF = clip(mean(log(1 + y_i/max(y))) / log(2), 0, 1)",Giữ mạnh Jain + Service,"Giữ Jain và Service mạnh, giảm T xuống 0.10; X thử thay phần lớn Throughput.",X có thể thay Throughput mà vẫn tạo transmission hữu ích không?,0.10/0.30/0.30/0.30,61254.39242723846,0.0678559079860141,0.91,5000.0,5000.0,0.0266355000720459,Late collapse,Không dùng checkpoint giữa run; final policy không ổn định.,False,False,False,False
add_low_throughput_equal,Low-throughput,"y_i = EWMA_i / demand_i;  r_L = clip(P10(y) / mean(y), 0, 1)",Chia đều 4 thành phần,"Thêm X vào baseline, đồng thời giảm T, Jain và Service từ 1/3 xuống 1/4.",X có tạo lợi ích biên khi đứng ngang hàng với ba reward nền không?,0.25/0.25/0.25/0.25,86476.6313854004,0.1536387431768326,0.925,5000.0,5000.0,0.0,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
low_throughput_heavy,Low-throughput,"y_i = EWMA_i / demand_i;  r_L = clip(P10(y) / mean(y), 0, 1)",Cho X làm thành phần chính,Tăng X lên 0.40 và giảm cả ba reward nền xuống 0.20.,X có đủ mạnh để làm objective chính hay sẽ bị khai thác/collapse?,0.20/0.20/0.20/0.40,7653.351369610596,0.0494060740682524,0.9466666666666668,5000.0,5000.0,0.0,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
low_throughput_hold_throughput,Low-throughput,"y_i = EWMA_i / demand_i;  r_L = clip(P10(y) / mean(y), 0, 1)",Giữ Throughput,"Giữ T ở 0.25, tăng X lên 0.35, giảm Jain và Service xuống 0.20.",Throughput có phải anchor cần thiết để X hoạt động không?,0.25/0.20/0.20/0.35,117373.97533554689,0.0727734365928215,0.0266666666666666,67.0,71.0,0.0558954200857145,Borderline,Có tín hiệu nhưng chưa đạt zero-starvation/tail-delay an toàn.,False,False,False,False
low_throughput_hold_jain,Low-throughput,"y_i = EWMA_i / demand_i;  r_L = clip(P10(y) / mean(y), 0, 1)",Giữ Jain,"Giữ Jain ở 0.25, tăng X lên 0.35, giảm T và Service xuống 0.20.",Jain có phải anchor cần thiết để X hoạt động không?,0.20/0.25/0.20/0.35,7949.056851478576,0.0468949294576947,0.9466666666666668,5000.0,5000.0,0.0,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
low_throughput_hold_service,Low-throughput,"y_i = EWMA_i / demand_i;  r_L = clip(P10(y) / mean(y), 0, 1)",Giữ Service,"Giữ Service ở 0.25, tăng X lên 0.35, giảm T và Jain xuống 0.20.",Service có phải anchor cần thiết để X hoạt động không?,0.20/0.20/0.25/0.35,6545.234130075073,0.0514836549183691,0.9466666666666668,5000.0,5000.0,0.0,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
low_throughput_group_tj,Low-throughput,"y_i = EWMA_i / demand_i;  r_L = clip(P10(y) / mean(y), 0, 1)",Giữ mạnh T + Jain,"Giữ T và Jain mạnh, giảm Service xuống 0.10; X thử thay phần lớn Service.",X có thể thay Service mà vẫn giữ coverage không?,0.30/0.30/0.10/0.30,99024.448839328,0.2687190917433912,0.0,49.0,51.0,0.07364250761382,Stable,"Ổn định nhưng tăng trưởng nhỏ/không rõ: goodput nhích lên, fairness và delay gần như không tốt hơn.",True,False,False,False
low_throughput_anchor_preserving,Low-throughput,"y_i = EWMA_i / demand_i;  r_L = clip(P10(y) / mean(y), 0, 1)",Giữ mạnh T + Service,"Giữ T và Service mạnh, giảm Jain xuống 0.10; X thử thay phần lớn Jain.",X có thể thay Jain mà policy vẫn ổn định/công bằng không?,0.30/0.10/0.30/0.30,9019.477632276916,0.0458176905089955,0.9466666666666668,5000.0,5000.0,0.0,Full collapse,Loại geometry này: policy bỏ phần lớn UE hoặc không tạo successful service hữu ích.,False,False,False,False
