variable,default_or_round10_value,status,meaning
cqi_mode,static or correlated,FLEX,"static preserves old behavior; correlated enables temporal CQI evolution"
cqi_temporal_correlation,"slow=0.97; fast=0.80",FLEX,"AR(1)-style memory around each UE CQI anchor; higher means slower change"
cqi_innovation_std,"slow=0.35; fast=0.90",FLEX,"standard deviation of the independent channel innovation stream"
cqi_update_interval_slots,1,FLEX,"number of slots between CQI process updates"
cqi_max_delta_per_update,"slow=1; fast=3",FLEX,"maximum integer CQI change allowed in one update"
cqi_anchor,1..15 per UE,DYNAMIC-STATE,"heterogeneous reset-time long-term CQI reference sampled from low/medium/high UE groups"
mean_cqi,derived,METRIC,"cell-average current CQI"
mean_cqi_std,derived,METRIC,"cross-UE CQI spread"
mean_cqi_abs_change_per_slot,derived,METRIC,"mean absolute integer CQI change between adjacent scheduling slots"
mean_cqi_changed_fraction,derived,METRIC,"fraction of UEs whose integer CQI changed at an update"
speed_mps,"0/1.5/5/15/25",META-ONLY,"still does not drive CQI in v0.11.0; mobility coupling is deferred"
target_bler,0.10,FLEX-BUT-UNCHANGED,"still CQI-independent in v0.11.0; Link Adaptation is deferred"
transmission_layers,not modeled,FUTURE,"future Joint Link Adaptation + Scheduler action after MIMO/CSI support"
